"facltNm","contentId","manageSttus","induty","lctCl","doNm","sigunguNm","operPdCl","sbrsCl","facltDivNm","siteBottomCl1","siteBottomCl2","siteBottomCl3","siteBottomCl4","siteBottomCl5","roomCount"
"대궐오토캠핑장","725","운영","일반야영장,글램핑","산","경기도","양주시","봄,여름,가을,겨울","전기,장작판매,온수,놀이터,산책로,운동장,운동시설","민간","0","0","0","0","0","77"
"블루마린 캠핑장","7250","운영","일반야영장","산,도심","경기도","여주시","봄,여름,가을,겨울","물놀이장,운동시설","민간","0","0","0","0","0","72"
"함평자연생태글램핑앤오토캠핑장지점","7251","운영","자동차야영장","","전라남도","함평군","봄,여름,가을,겨울","","","0","0","0","0","0","15"
"베스트필드","7253","운영","일반야영장,글램핑","산,계곡","충청남도","공주시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,산책로,마트.편의점","민간","0","0","0","0","0","31"
"평화누리캠핑장","7254","운영","자동차야영장,카라반,글램핑","도심","경기도","파주시","","전기,장작판매,온수,마트.편의점","지자체","0","74","0","0","0","127"
"화명 오토캠핑장","7255","운영","자동차야영장","","부산시","북구","","","지자체","0","0","0","0","0","0"
"위천수변 테마파크","7256","운영","자동차야영장","산","경상북도","군위군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","지자체","38","0","0","0","0","76"
"늘예솔글램핑","7257","운영","자동차야영장,글램핑","계곡","경상남도","거창군","봄,여름,가을","전기,무선인터넷,장작판매,온수,운동시설","민간","0","0","3","0","0","8"
"아쿠아마린캠핑장","7258","운영","일반야영장,카라반,글램핑","산,숲,강","경기도","포천시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설,마트.편의점","민간","0","0","0","0","0","23"
"임진물새롬센터 오토캠핑장","7264","운영","자동차야영장","","경기도","연천군","","","","0","0","0","0","0","0"
"숲속의야영장","7266","운영","자동차야영장","","경기도","양평군","","","","0","0","0","0","0","0"
"홍천강 자라바위 오토캠핑장","7268","운영","자동차야영장","","강원도","홍천군","","","","0","0","0","0","0","0"
"슬로우캠프","7269","운영","자동차야영장","","강원도","영월군","","","","0","0","0","0","0","0"
"여울소리","7270","운영","자동차야영장","","강원도","영월군","","","","0","0","0","0","0","0"
"천안시 국민여가캠핑장","7271","운영","자동차야영장","","충청남도","천안시","","","","0","0","0","0","0","0"
"테하스랜드 글램핑장","7273","운영","자동차야영장","","충청남도","논산시","","","","0","0","0","0","0","0"
"산림청 국립자연휴양림관리소","7274","운영","자동차야영장","","충청남도","서천군","","","","0","0","0","0","0","0"
"백운제 농어촌테마공원 자동차 야영장","7276","운영","자동차야영장","","전라남도","광양시","","","","0","0","0","0","0","0"
"사평풍류마을오토캠핑장","7279","운영","자동차야영장","","전라남도","화순군","봄,여름,가을,겨울","","","0","0","0","0","0","0"
"대기리산촌체험학교야영장","728","운영","자동차야영장","숲","강원도","강릉시","봄,여름,가을","전기,장작판매,온수,물놀이장,산책로","민간","0","17","0","0","0","17"
"돌머리 하우스캠핑","7281","운영","자동차야영장","","전라남도","함평군","","","민간","0","0","0","0","0","0"
"봉화솔향가득서울캠핑장","7285","운영","자동차야영장","","경상북도","봉화군","","","","0","0","0","0","0","0"
"밀양 엄마랑놀자 키즈글램핑","7286","운영","자동차야영장","","경상남도","밀양시","","","","0","0","0","0","0","0"
"궁농오토캠핑장","7287","운영","자동차야영장","해변,섬","경상남도","거제시","","","","0","0","0","0","0","0"
"의령 거장산 오토캠핑장","7288","운영","자동차야영장","","경상남도","의령군","","","","0","0","0","0","0","0"
"클럽레스피아in삽교바다공원","7291","운영","자동차야영장","","충청남도","당진시","","","","0","0","0","0","0","0"
